

 Females then males 
"year","month","fleet","sex","partition","ageErr","LbinLo","LbinHi","Ntows","Nsamps","InputN","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35"
1980,7,"NTWL",3,0,0,-1,-1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.375,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,7,"NTWL",3,0,0,-1,-1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
1982,7,"NTWL",3,0,0,-1,-1,2,12,4,0,0,0,0,0,0,0.2009,0.0932,0.0932,0.0932,0,0.0932,0,0,0.0932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539,0.0932,0,0.1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,7,"NTWL",3,0,0,-1,-1,2,6,3,0,0,0,0,0.3333,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,7,"NTWL",3,0,0,-1,-1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,"NTWL",3,0,0,-1,-1,3,29,7,0,0,0,0,0,0,0,0,0.1364,0.1071,0.0682,0,0.0325,0,0.0325,0,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357,0,0,0.0357,0,0,0,0,0,0,0,0,0.0357,0.0357,0.0357,0.0714,0.0325,0,0.0682,0,0.0357,0.0714,0,0.0325,0,0.0325,0,0,0,0,0,0.0325,0,0,0,0,0,0,0.0325
1997,7,"NTWL",3,0,0,-1,-1,1,17,3,0,0,0,0,0,0.0588,0,0,0,0,0,0,0.1176,0,0,0,0,0,0,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0.1176,0.0588,0,0.2941,0.1176,0.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,"NTWL",3,0,0,-1,-1,4,87,16,0,0,0,0,0,0.0279,0.0557,0.0912,0.0989,0.0279,0.0142,0.0218,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086,0.0258,0.0354,0.0976,0.0351,0.1142,0.0219,0.0226,0.044,0.0896,0.0151,0.0067,0.0496,0.0067,0,0.0067,0,0.0228,0.02,0.0067,0,0,0.0067,0,0.0067,0,0,0,0,0,0.0067
2001,7,"NTWL",3,0,0,-1,-1,5,39,10,0,0,0,0,0.0792,0.0728,0.0243,0.0741,0.0728,0.0741,0.0984,0.0256,0.0243,0,0.0243,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565,0.027,0,0.0997,0.0741,0.0499,0.0243,0,0.0486,0,0.0243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,"NTWL",3,0,0,-1,-1,4,30,8,0,0,0,0,0.1333,0.0667,0.1667,0.0667,0,0.0333,0,0,0.0333,0,0.0333,0.0333,0.0333,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0.2,0.0667,0,0,0,0,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,"NTWL",3,0,0,-1,-1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,"NTWL",3,0,0,-1,-1,3,22,6,0,0,0,0,0,0,0,0,0.0454,0.0456,0.0912,0,0.1365,0.091,0.0454,0,0,0,0,0.0454,0,0,0,0.0454,0,0,0,0,0,0.0454,0.0454,0,0,0,0,0,0,0,0,0,0,0.0456,0,0.0454,0.0456,0,0.0454,0,0.091,0,0,0,0,0,0,0.0454,0,0,0,0,0,0,0,0.0454,0,0,0,0,0,0
